words,spell,correct,frequency
ar,"['area', 'iar', 'far', 'ear']",area,2
area,"['area', 'area', 'read']",area,350
aremove,"['remove', 'remove', 'remove']",remove,2
arepair,"['repair', 'repair', 'repair']",repair,3
argon,"['argon', 'carbon', 'acronis']",argon,13
arm,"['warm', 'armor', 'alarm']",warm,3
armor,"['armor', 'warm', 'remover']",armor,2
array,"['array', 'ray', 'ray']",array,22
arrester,"['arrester', 'waster', 'master', 'parameter']",arrester,4
aru,"['aru', 'vru', 'run']",aru,173
aruset,"['aru set', 'reuse', 'reset']",aru set,3
as,"['as', 'gas', 'das']",as,30
assembly,"['assembly', 'disassembly', 'disassemble']",assembly,11
asset,"['asset', 'set', 'gasket']",asset,7
audit,"['audit', 'unit', 'radiant']",audit,4
aur,"['aru', 'aur', 'iar', 'far']",aru,3
auto,"['auto', 'paut', 'ut']",auto,42
ba,"['back', 'bar', 'bag']",back,265
back,"['back', 'backup', 'rack']",back,13
backfill,"['backfill', 'fill', 'fill']",backfill,9
backhoe,"['backhoe', 'backhoe', 'back']",backhoe,5
backhole,"['backhoe', 'backhoe', 'manhole']",backhoe,4
backup,"['backup', 'back', 'backhoe']",backup,5
badder,"['ladder', 'blade', 'blade']",ladder,2
bag,"['bag', 'bg', 'tag']",bag,13
balance,"['balance', 'place', 'place']",balance,4
ball,"['ball', 'all', 'wall']",ball,19
bar,"['bar', 'board', 'pba']",bar,10
barricade,"['barricade', 'bridge', 'cascade']",barricade,85
base,"['base', 'basket', 'case']",base,26
basin,"['basin', 'rasin', 'blasting']",basin,16
basket,"['basket', 'gasket', 'base']",basket,29
bath,"['bath', 'both', 'watch']",bath,2
batt,"['bath', 'battery', 'battery']",battery,2
battery,"['battery', 'battery', 'water']",battery,34
be,"['be', 'pbe', 'tube', 'blue']",be,4
beacon,"['beacon', 'becon', 'eco']",beacon,8
beam,"['beam', 'bream', 'team']",beam,53
bearing,"['bearing', 'wearing', 'ring']",bearing,39
becon,"['becon', 'beacon', 'eco']",becon,4
bedf,"['bend', 'df', 'bd']",bend,2
before,"['before', 'force', 'for']",before,6
bell,"['bell', 'cell', 'belt', 'ball']",bell,3
bellow,"['below', 'blow', 'elbow']",below,5
belt,"['belt', 'bolt', 'lt']",belt,65
bend,"['bend', 'end', 'brand']",bend,4
bently,"['bently', 'density', 'vent']",bently,4
bevel,"['bevel', 'level', 'level']",bevel,6
bidding,"['bidding', 'building', 'building']",bidding,6
big,"['big', 'bg', 'tubing']",big,22
bigbag,"['big bag', 'big', 'bag']",big bag,4
biofilter,"['bio filter', 'filter', 'filter', 'boiler']",bio filter,2
blade,"['blade', 'blade', 'ladder']",blade,43
blades,"['blade', 'blade', 'blast']",blade,2
bland,"['land', 'gland', 'brand', 'blind']",land,7
blast,"['blast', 'blasting', 'basket']",blast,6
blasting,"['blasting', 'blast', 'basin']",blasting,49
blind,"['blind', 'blind', 'wind']",blind,995
bling,"['sling', 'blind', 'blind']",sling,4
block,"['block', 'lock', 'locker']",block,22
blow,"['blow', 'below', 'low']",blow,5
blowdown,"['blowdown', 'laydown', 'down']",blowdown,37
blower,"['blower', 'blow', 'tower']",blower,19
blowing,"['blowing', 'oing', 'long', 'long']",blowing,3
blue,"['blue', 'lable', 'cable']",blue,3
bluff,"['bluff', 'buffing', 'buffing']",bluff,13
bm,"['bm', 'btm', 'm']",bm,12
board,"['board', 'bar', 'yard']",board,29
body,"['body', 'by', 'board']",body,13
boiler,"['boiler', 'oiler', 'oil']",boiler,125
boilera,"['boiler', 'oiler', 'boiler c flame']",boiler,3
boilerb,"['boiler', 'oiler', 'boiler b flame']",boiler,2
boilerbflame,"['boiler b flame', 'boiler c flame', 'boiler']",boiler flame,4
boilercflame,"['boiler c flame', 'boiler b flame', 'boiler']",boiler flame,2
bolt,"['bolt', 'bolts', 'volt']",bolt,417
bolts,"['bolts', 'bolt', 'volt']",bolts,4
bon,"['sbon', 'on', 'becon']",bonnet,10
bonnet,"['bonnet', 'bonnet', 'connect']",bonnet,4
boom,"['boom', 'bottom', 'bottom']",boom,47
boomlift,"['boomlift', 'lift', 'boot']",boom lift,18
booster,"['booster', 'boot', 'moter']",booster,4
boot,"['boot', 'soot', 'foot']",boot,2
booter,"['booster', 'boot', 'moter']",booster,2
bore,"['before', 'core', 'pt bore']",bore,96
borescope,"['borescope', 'borescope', 'borescope']",borescope,100
borscope,"['borescope', 'borescope', 'borescope']",borescope,7
both,"['both', 'boot', 'bolt']",both,3
bottol,"['bottom', 'bottom', 'button']",bottol,3
bottom,"['bottom', 'bottom', 'boom']",bottom,30
bouilding,"['building', 'building', 'bidding']",building,4
box,"['box', 'nox', 'firebox']",box,224
bracing,"['bracing', 'tracing', 'racking']",bracing,3
brand,"['brand', 'and', 'sand']",brand,3
break,"['break', 'breaker', 'bream']",break,18
breaker,"['breaker', 'break', 'eater']",breaker,10
breakthrough,"['break through', 'through', 'breaker']",breakthrough,4
bream,"['bream', 'beam', 'break']",bream,2
bremove,"['remove', 'remove', 'remove']",remove,3
brick,"['brick', 'rack', 'back']",brick,5
bridge,"['bridge', 'triage', 'rigger']",bridge,83
brush,"['brush', 'push', 'virus']",brush,6
btm,"['btm', 'bm', 'wtm']",btm,4
btop,"['top', 'stop', 'stop']",top,2
buff,"['bluff', 'buffing', 'buffing']",buffing,38
buffing,"['buffing', 'buffing', 'building']",buffing,7
building,"['building', 'building', 'bidding']",building,4
bun,"['bundle', 'run', 'button', 'burner']",bundle,2
bund,"['bundle', 'bundle', 'bend']",bundle,7
bundle,"['bundle', 'bundle', 'under']",bundle,6
bunner,"['burnner', 'burner', 'burner']",burnner,4
burner,"['burner', 'burner', 'burnner']",burner,149
burning,"['burning', 'tuning', 'during', 'ring']",burning,2
burnner,"['burnner', 'burner', 'burner']",burnner,2
bus,"['us', 'brush', 'use']",bus,15
busduct,"['busduct', 'busduct', 'duct']",busduct,35
bush,"['brush', 'push', 'us']",brush,2
busible,['busible'],busible,5
bustion,['bustion'],bustion,5
button,"['button', 'bottom', 'bottom']",button,2
bvswing,"['bvswing', 'swing', 'swing']",swing,2
by,"['by', 'body']",by,138
bypass,"['bypass', 'pass', 'bypass valve']",bypass,33
bypass valve,"['bypass valve', 'bypass', 'valve']",bypass valve,5
bypassvalve,"['bypass valve', 'bypass', 'valve']",bypass valve,2
cabinet,"['cabinet', 'paint', 'inlet']",cabinet,26
cable,"['cable', 'scale', 'lable']",cable,200
cableduct,"['cableduct', 'cable', 'conduct']",cableduct,23
caburize,"['carrier', 'cabinet', 'car barrier']",carrier,2
cack,"['crack', 'rack', 'pack']",crack,6
cadweld,"['cadweld', 'weld', 'add']",cadweld,22
cake,"['cake', 'take', 'make']",calibrate,43
cal,"['scale', 'local', 'cable']",calibrate,576
calcheck,"['calcheck', 'check', 'check']",calibrate check,2
calibaration,"['calibration', 'calibration', 'calibration']",calibration,2
calibartion,"['calibration', 'calibration', 'calibration']",calibration,2
calibrate,"['calibrate', 'calibrate', 'calibration']",calibrate,303
calibrate stroke ,['calibrate stroke'],calibrate stroke ,5
calibration,"['calibration', 'calibration', 'calibration']",calibration,136
call,"['all', 'wall', 'cell', 'call']",calibrate,17
callibrate,"['calibrate', 'calibrate', 'calibration']",calibrate,11
calsite,"['calibrate', 'calibrate', 'site']",calibrate,2
calstroke,"['stroke', 'stroke', 'stroke']",stroke,4
camp,"['camp', 'camp', 'amp']",camp,6
cange,"['cange', 'change', 'change']",change,2
canister,"['canister', 'waster', 'scaner']",canister,3
cant,"['scan', 'coolant', 'cabinet']",can't,2
cap,"['capacitor', 'camp', 'camp', 'scrap']",capacitor,5
capacitor,"['cpact', 'contractor', 'opacity']",capacitor,2
capsul,"['capsule', 'capsule', 'cpu']",capsule,2
capsule,"['capsule', 'capsule', 'case']",capsule,7
car,"['car', 'card', 'cr']",car,3
carbarier,"['car barrier', 'carrier', 'clarifier']",car barrier,2
carbon,"['carbon', 'argon', 'hydrocarbon']",carbon,511
carboon,"['carbon', 'hydrocarbon', 'argon']",carbon,3
carbulize,"['cable', 'carrier', 'capsule']",carbulize,2
card,"['card', 'car', 'yard']",card,100
carn,"['car', 'carbon', 'scan']",car,5
carrier,"['carrier', 'car barrier', 'clarifier']",carrier,288
cartridge,"['cartridge', 'cartridge', 'cartridge']",cartridge,19
cartrigde,"['cartridge', 'cartridge', 'cartridge']",cartridge,6
cartriged,"['cartridge', 'cartridge', 'cartridge']",cartridge,2
cascade,"['cascade', 'case', 'spade']",cascade,2
case,"['case', 'cse', 'cake']",case,3
casing,"['casing', 'passing', 'coating']",casing,21
cat,"['at', 'craft', 'cpact']",catalyst,6
catalyst,"['catalyst', 'analysis']",catalyst,31
catcher,"['catcher', 'rapcher', 'water']",catcher,14
cathodic,"['cathodic', 'caustic', 'caustic']",cathodic,38
catodic,"['cathodic', 'caustic', 'caustic']",cathodic,2
caustic,"['caustic', 'caustic', 'caustic']",caustic,10
cautic,"['caustic', 'caustic', 'caustic']",caustic,2
cavitation,"['excavation', 'calibration', 'calibration']",excavation,2
ccb,['ccb'],ccb,-1
cctv,"['cctv', 'tv', 'cpact']",cctv,30
cell,"['cell', 'shell', 'll']",cell,20
cement,"['cement', 'cement', 'element']",cement,2
cems,"['ms', 'cm', 'chemicals']",cems,167
ceramic,"['ceramic', 'crack', 'chemical']",ceramic,3
cern,['cern'],cern,5
cert,"['certificate', 'rt', 'earth', 'craft']",certificate,31
certificate,"['certificate', 'rectifier', 'clarifier']",certificate,16
chack,"['crack', 'check', 'check']",check,19
chager,"['charger', 'change', 'change']",charger,6
chamber,"['chamber', 'chamber', 'chamber']",chamber,4
chamical,"['chemical', 'chemical', 'chemical']",chemical,4
chanel,"['channel', 'channel', 'change']",channel,15
chang,"['change', 'change', 'change']",change,48
changcarbon,"['carbon', 'hydrocarbon', 'exchanger']",carbon,2
change,"['change', 'change', 'change']",change,1454
changecarbon,"['exchanger', 'change', 'change']",exchanger,3
changr,"['change', 'change', 'change']",change,2
channel,"['channel', 'channel', 'change']",channel,2
charge,"['charger', 'change', 'change']",charger,3
charger,"['charger', 'change', 'change']",charger,65
charmber,"['chamber', 'chamber', 'chamber']",chamber,2
chart,"['chart', 'car', 'part']",chart,3
chcek,"['check', 'check', 'check']",check,3
cheak,"['check', 'check', 'check']",check,21
chech,"['check', 'check', 'check']",check,10
check,"['check', 'check', 'check']",check,3489
checker,"['checker', 'check', 'check']",checker,17
checkleak,"['check leak', 'checker', 'check']",check leak,2
checklist,"['checklist', 'checksheet', 'check']",checklist,36
checksheet,"['checksheet', 'checklist', 'checker']",checksheet,47
cheek,"['check', 'check', 'check']",check,7
cheet,"['sheet', 'sheet', 'eet']",sheet,3
chek,"['check', 'check', 'check']",check,5
chekc,"['check', 'check', 'check']",check,2
chem,"['hm', 'cm', 'chemical']",chemical,4
chemacal,"['chemical', 'chemical', 'chemical']",chemical,5
chemacals,"['chemicals', 'chemical', 'chemical']",chemicals,2
chemaical,"['chemical', 'chemical', 'chemical']",chemical,3
chemical,"['chemical', 'chemical', 'chemical']",chemical,872
chemicals,"['chemicals', 'chemical', 'chemical']",chemicals,756
chiller,"['chiller', 'oiler', 'impeller']",chiller,24
circular,"['circular', 'accumulator', 'accumulator']",circular,7
circum,"['circular', 'confirm', 'confirm']",circular,2
civil,"['civil', 'coil']",civil,2
ckb,"['ckb', 'cb', 'lcb']",ckb,868
ckeck,"['check', 'check', 'check']",check,4
cla,['calibration'],calibration,-1
claean,"['clean', 'clean', 'clean']",clean,2
claen,"['clean', 'clean', 'clean']",clean,6
claening,"['cleaning', 'cleaning', 'cleaning']",cleaning,38
clamp,"['clamp', 'lamp', 'camp', 'camp']",clamp,65
clan,"['clean', 'clean', 'clean']",clean,2
clane,"['crane', 'clean', 'clean']",clean,2
clarifier,"['clarifier', 'carrier', 'rectifier']",clarifier,2
class,"['class', 'glass', 'pass']",class,524
clea,"['clear', 'clean', 'clean']",clean,2
cleaing,"['cleaning', 'cleaning', 'cleaning']",cleaning,3
clean,"['clean', 'clean', 'clean']",clean,3632
cleanburner,"['burner', 'burner', 'scanner']",burner,2
cleane,"['clean', 'clean', 'clean']",clean,2
cleaner,"['clear', 'clean', 'clean']",clear,2
cleaning,"['cleaning', 'cleaning', 'cleaning']",cleaning,164
cleaningrefill,"['cleaning refill', 'cleaning refill', 'cleaning']",cleaning refill,12
cleanning,"['cleaning', 'cleaning', 'cleaning']",cleaning,8
cleansludge,"['sludge', 'sludge', 'cleaning']",sludge,2
cleanstr,"['clear', 'clean', 'clean']",clear,8
clear,"['clear', 'clean', 'clean']",clear,43
clearn,"['clear', 'clean', 'clean']",clear,9
clecn,"['clean', 'clean', 'clean']",clean,2
cleening,"['cleaning', 'cleaning', 'cleaning']",cleaning,2
client,"['client', 'clean', 'clean']",client,9
close,"['close', 'loose', 'cse']",close,89
cm,"['cm', 'cmc', 'm']",cm.,160
cma,"['cm', 'mca', 'man']",cm,2
co,"['eco', 'o', 'core']",carbon monoxide,22
coating,"['coating', 'floating', 'coring']",coating,92
cod,"['cold', 'coid', 'coid']",cold,41
code,"['node', 'core', 'cold']",node,2
coid,"['coid', 'coid', 'cold']",coid,2
coil,"['coil', 'oil', 'cold']",coil,321
coke,"['coke', 'decoke', 'core']",coke,20
cold,"['cold', 'oeld', 'hold']",cold,163
coldbox,"['coldbox', 'cold', 'box']",coldbox,5
column,"['column', 'coupon', 'common']",column,8
com,"['combustible', 'fusible', 'combustion']",combustible,162
com,['compressor'],compressor,162
com,"['comfirm', 'confirm', 'confirm']",comfirm,162
com,"['comment', 'common', 'cement']",comment,162
com,"['commissioning', 'commissioning', 'common']",commissioning,162
com,"['common', 'comment', 'compound']",common,162
com,"['communication', 'communication', 'communication']",communication,15
com,"['cm', 'ohm', 'eco']",com,162
combusible,"['combustible', 'fusible', 'combustion']",combustible,3
combustion,"['combustion', 'combustion', 'combustible']",combustion,9
comfirm,"['comfirm', 'confirm', 'confirm']",comfirm,2
comment,"['comment', 'common', 'cement']",comment,5
commisioning,"['commissioning', 'commissioning', 'common']",commissioning,2
commissioning,"['commissioning', 'commissioning', 'common']",commissioning,25
common,"['common', 'comment', 'compound']",common,11
commu,"['common', 'comment', 'comfirm']",common,7
communication,"['communication', 'communication', 'communication']",communication,15
communit,"['comment', 'communication', 'communication']",comment,2
comp,"['camp', 'camp', 'compact']",camp,327
compact,"['compact', 'cpact', 'pact']",compact,118
compactprover,"['compact', 'computer', 'prover']",compact,9
compcat,"['compact', 'cpact', 'computer']",compact,2
compessor,"['compressor', 'compressor', 'compressor']",compressor,8
compound,"['compound', 'pound', 'coupon']",compound,17
compressoor,"['compressor', 'compressor', 'compressor']",compressor,2
compressor,"['compressor', 'compressor', 'compressor']",compressor,61
compressore,"['compressore', 'compressor', 'compressor']",compressor,3
compressure,"['compressore', 'compressor', 'compressor']",compressor,4
computer,"['computer', 'counter', 'cutter']",computer,13
con,"['on', 'becon', 'one']",con,6
concern,"['concern', 'counter', 'cover']",concern,9
concrete,"['concrete', 'concrete', 'counter']",concrete,98
cond,"['cold', 'coid', 'coid']",con,16
condensate,"['condensate', 'condensate', 'condensing']",condensate,7
condensing,"['condensing', 'connecting', 'condensate']",condensing,12
condition,"['condition', 'recondition', 'conduit']",condition,21
conduc,"['conduct', 'conduct', 'conduit']",conduct,8
conduct,"['conduct', 'conduct', 'conduit']",conduct,153
conductivity,"['conductivity', 'connectivity', 'conduit']",conductivity,35
conduit,"['conduit', 'conduct', 'conduct']",conduit,261
conduitcable,"['conduit cable', 'conduit', 'conduct']",conduit cable,4
cone,"['one', 'zone', 'core']",confine,8
confice,"['confine', 'confine', 'confine']",confine,2
confiend,"['confine', 'confine', 'confine']",confine,24
config,"['config', 'configure', 'confirm']",config,27
configuration,"['configuration', 'configure', 'condition']",configuration,4
configure,"['configure', 'config', 'confirm']",configure,11
confime,"['confirm', 'confirm', 'confirm']",confirm,2
confine,"['confine', 'confine', 'confine']",confine,145
confined,"['confine', 'confine', 'confine']",confine,163
confirm,"['confirm', 'confirm', 'confirm']",confirm,289
confirn,"['confirm', 'confirm', 'confirm']",confirm,2
confrim,"['confirm', 'confirm', 'confirm']",confirm,7
connect,"['connect', 'connector', 'disconnect']",connect,32
connectand,"['connect and', 'connect', 'connecting']",connect and,15
connecting,"['connecting', 'connect', 'connect and']",connecting,4
connectivity,"['connectivity', 'conductivity', 'connect']",connectivity,3
connector,"['connector', 'connect', 'disconnect']",connector,3
console,"['console', 'cooler', 'control']",console,12
consumption,"['consumption', 'coupon', 'condition']",consumption,2
container,"['container', 'counter', 'confine']",container,12
contorl,"['control', 'control', 'connector']",control,2
contour,"['connector', 'monitor', 'monitor']",connector,5
contractor,"['contractor', 'connector', 'control']",contractor,3
control,"['control', 'control', 'controller']",control,202
controller,"['controller', 'control', 'control']",controller,9
coolant,"['coolant', 'cooling', 'cooling']",coolant,26
cooler,"['cooler', 'console', 'controller']",cooler,67
cooling,"['cooling', 'cooling', 'coupling']",cooling,271
coollant,"['coolant', 'cooling', 'cooling']",coolant,2
coolling,"['cooling', 'cooling', 'coupling']",cooling,11
copper,"['copper', 'hopper', 'stopper']",copper,50
core,"['core', 'coke', 'scope']",core,6
coring,"['coring', 'oring', 'ring']",coring,13
corosion,"['corrosion', 'corrosion', 'coring']",corrosion,17
corrosion,"['corrosion', 'corrosion', 'torsional']",corrosion,39
corrotion,"['corrosion', 'corrosion', 'rotation']",corrosion,3
counter,"['counter', 'computer', 'cutter']",counter,3
coupling,"['coupling', 'coupling', 'cooling']",coupling,65
coupon,"['coupon', 'coupling', 'coupling']",coupon,48
cover,"['cover', 'over', 'over']",cover,89
coverchannel,"['cover channel', 'channel', 'channel']",cover channel,3
coversheet,"['cover sheet', 'checksheet', 'sheet']",cover sheet,2
covid,"['coid', 'coid', 'cold']",coid,3
cpact,"['cpact', 'pact', 'compact']",cpact,7
cpu,"['cpu', 'pu', 'ocu']",cpu,5
crack,"['crack', 'rack', 'racking']",crack,6
cracker,"['crack', 'rack', 'cake']",crack,6
craft,"['craft', 'draft', 'aircraft']",craft,5
crane,"['crane', 'range', 'cange']",crane,202
cronding,"['grounding', 'condensing', 'sounding']",grounding,2
cross,"['cross', 'crossover', 'crosshead']",cross,16
crosshead,"['crosshead', 'cross', 'crossover']",crosshead,2
crossover,"['crossover', 'cross', 'cover']",crossover,2
crounding,"['grounding', 'sounding', 'condensing']",grounding,9
cse,"['cse', 'case', 'se']",cse,43
cuastic,"['caustic', 'caustic', 'caustic']",caustic,2
cuppling,"['coupling', 'coupling', 'piping']",coupling,3
current,"['current', 'current', 'screen']",current,17
currnet,"['current', 'current', 'crane']",current,2
cus,"['cus', 'us', 'use']",cus,38
cut,"['cut', 'ut', 'utm']",cut,26
cuting,"['cutting', 'cutting', 'coating']",cutting,13
cutter,"['cutter', 'counter', 'computer']",cutter,3
cutting,"['cutting', 'cutting', 'testing']",cutting,164
cvisual,"['visual', 'visual', 'visual']",visual,2
cyclo,"['cycle', 'close']",cycle,3
daily,"['daily', 'tail', 'rail']",daily,7
daivo,"['divo', 'division', 'drain']",divo,2
damage,"['damage', 'damper', 'leakage']",damage,17
damper,"['damper', 'adapter', 'adapter']",damper,14
das,"['das', 'ds', 'da']",das,3
dat,"['data', 'dt', 'da']",data,3
data,"['data', 'ata', 'ta']",data,14
database,"['database', 'data', 'base']",database,2
decoke,"['decoke', 'coke', 'eco']",decoke,112
delay,"['delay', 'relay', 'lay']",delay,13
delete,"['delete', 'elite', 'elite']",delete,2
deluge,"['deluge', 'slugde', 'sludge']",deluge,16
demin,"['min', 'design', 'main']",min,42
demolise,"['demolish', 'demolish', 'demolish']",demolish,2
demolish,"['demolish', 'demolish', 'demolish']",demolish,88
demon,"['down', 'emulsion', 'demolish']",down,3
denim,"['density', 'modem']",density,6
denka,"['drink', 'delay']",drink,2
densate,['densate'],densate,5
densing,['densing'],densing,5
density,"['density', 'onsite', 'design']",density,36
deploy,"['deploy', 'delay', 'display']",deploy,3
depressure,"['depressure', 'pressure', 'pressure']",depressure,2
design,"['design', 'resin', 'signal']",design,5
desup,"['desup', 'setup']",desup,2
detecter,"['detecter', 'detector', 'electro']",detecter,2
detector,"['detector', 'detecter', 'selector']",detector,232
dev,"['dv', 'de', 'nde']",deviation,22
devation,"['deviation', 'deviation', 'deviation']",deviation,2
deviat,"['deviation', 'deviation', 'deviation']",deviation,2
deviate,"['device', 'deviation', 'deviation']",deviation,2
deviation,"['deviation', 'deviation', 'deviation']",deviation,12
device,"['device', 'service', 'decoke']",device,5
devition,"['deviation', 'deviation', 'deviation']",deviation,2
diapham,"['diapharm', 'diaphragm', 'naptha']",diapharm,3
diapharm,"['diapharm', 'diaphragm', 'alarm']",diapharm,3
diaphragm,"['diaphragm', 'diapharm']",diaphragm,9
diesel,"['diesel', 'diesel', 'license']",diesel,7
dieselgenerator,"['diesel generator', 'generator', 'generator']",diesel generator,2
diff,"['diff', 'df', 'modify']",diff,25
digital,"['digital', 'signal', 'signal']",digital,4
dike,"['dike', 'disk', 'ie']",dike,49
dilute,"['dilute', 'iut', 'filter']",dilute,3
dimension,"['diversion', 'division', 'impending']",diversion,2
ding,"['during', 'ring', 'oing']",during,2
dis,"['disk', 'ds', 'tdi']",disassemble,20
disassemble,"['disassemble', 'disassemble', 'disassembly']",disassemble,16
disassembly,"['disassembly', 'disassemble', 'disassemble']",disassembly,9
disc,"['disk', 'sc', 'ds']",disk,6
dischange,"['discharge', 'discharge', 'change']",discharge,2
discharge,"['discharge', 'discharge', 'charger']",discharge,80
disconet,"['disconnect', 'disconnect', 'connect']",disconnect,2
disconnect,"['disconnect', 'disconnect', 'connect']",disconnect,12
disel,"['diesel', 'diesel', 'seal']",diesel,2
disk,"['disk', 'dike', 'harddisk']",disk,7
display,"['display', 'play', 'spray']",display,31
dissolve,"['dissolve', 'isolate']",dissolve,10
distibution,"['distribution', 'distribution', 'distribution']",distribution,2
distrib,"['distribution', 'distribution', 'distribution']",distribution,2
distribution,"['distribution', 'distribution', 'distribution']",distribution,7
dition,['dition'],dition,5
diversion,"['diversion', 'version', 'division']",diversion,3
division,"['division', 'diversion', 'deviation']",division,2
divo,"['divo', 'io', 'dv']",divo,44
dmds,"['dmds', 'ms', 'md']",dmds,57
do,"['do', 'dol', 'o']",do,10
docking,"['docking', 'knocking', 'oing']",docking,2
dol,"['dol', 'do', 'oil']",dol,4
dome,"['dome', 'pdme', 'doom']",dome,58
doom,"['doom', 'room', 'door']",doom,9
door,"['door', 'door', 'door']",door,9
dorf,"['door', 'door', 'door']",door,6
doring,"['oring', 'during', 'coring']",oring,2
double,"['double', 'wobble', 'wobble']",double,43
down,"['down', 'laydown', 'shutdown']",down,42
download,"['download', 'unload', 'load']",download,34
dp,"['dp', 'p', 'hdpe']",drop,3
draft,"['draft', 'craft', 'rate']",draft,3
drain,"['drain', 'drain', 'drain']",drain,188
draine,"['drain', 'drain', 'drain']",drain,3
dram,"['drum', 'ra', 'frame']",drum,3
dran,"['drain', 'drain', 'drain']",drain,2
drian,"['drink', 'drain', 'drain']",drink,4
drier,"['drier', 'rigger', 'pier']",drier,2
drike,"['dike', 'drink', 'drier']",dike,2
driling,"['drilling', 'drilling', 'during']",drilling,2
drilling,"['drilling', 'drilling', 'during']",drilling,36
drip,"['drip', 'trip', 'trip']",drip,3
drive,"['drier', 'drip', 'divo']",drier,4
drone,"['drone', 'one', 'zone']",drone,2
drop,"['drop', 'drip', 'ro']",drop,9
drum,"['drum', 'dummy', 'dummy']",drum,79
dry,"['dry', 'ray', 'ray']",dry,21
Dryer,['Dryer'],Dryer,2
duct,"['duct', 'product', 'conduct']",duct,11
duct,['duct'],duct,5
dum,"['drum', 'dummy', 'dummy']",drum,2
dummy,"['dummy', 'dummy', 'drum']",dummy,6
during,"['during', 'ring', 'oring']",during,3
dynamic,['dynamic'],dynamic,10
