words,spell,correct,frequency
ควง,['ควง'],ควง,2
รูปประกอบ,['รูปประกอบ'],รูปประกอบ,2
ตรว,"['ตัว', 'ตรง', 'ตรวจ', 'ตรา', 'ตรี', 'ติว', 'ตร', 'ตระ', 'ตรวน', 'ตรม', 'รว', 'ตริ', 'ตาว', 'ตรู', 'ตรุ', 'เรว', 'แรว', 'ตรำ', 'ตรวย', 'ตรัว', 'ตีว', 'ตวร', 'ตรก', 'ตไว', 'ตุว']",ตัว,2
การผลิต,['การผลิต'],การผลิต,2
เกียร์,['เกียร์'],เกียร์,2
เพี้ยน,['เพี้ยน'],เพี้ยน,2
กด,['กด'],กด,2
ท,"['ทำ', 'ที', 'บท', 'ทา', 'ทน', 'ไท', 'โท', 'เท', 'ทะ', 'ทอ', 'ทิ', 'ทร', 'ทู', 'ทบ', 'ทุ', 'ทศ', 'ทย', 'ฤท', 'ทด', 'ทง', 'ทม', 'นท', 'รท', 'มท', 'ทส', 'ทก', 'ลท', 'แท', 'ทท', 'ทฤ', 'สท', 'กท', 'ทพ', 'ทึ', 'ทว', 'ยท', 'ปท', 'ชท', 'ทล', 'ทป', 'ดท', 'ทค', 'คท', 'อท', 'พท', 'จท', 'วท', 'ทฏ', 'ภท', 'ฉท', 'ใท', 'ผท', 'ศท', 'ษท']",ทำ,2
มูล,['มูล'],มูล,2
กรด,['กรด'],กรด,2
ติดลบ,['ติดลม'],ติดลม,2
โคมไฟถนน,['โคมไฟถนน'],โคมไฟถนน,2
มือถือ,"['มือปืน', 'มือเสือ', 'มือมืด']",มือปืน,2
เสียที่,['เสียที'],เสียที,2
สแกน,['สแกน'],สแกน,2
แตกร้าว,['แตกร้าว'],แตกร้าว,2
เครื่องปั่นไฟ,['เครื่องปั่นไฟ'],เครื่องปั่นไฟ,2
ปรับปรุง,['ปรับปรุง'],ปรับปรุง,2
เต๋า,['เต๋า'],เต๋า,2
หนาม,['หนาม'],หนาม,2
นม,['นม'],นม,2
บ,"['พบ', 'บน', 'ใบ', 'บท', 'จบ', 'บา', 'ลบ', 'บี', 'สบ', 'รบ', 'คบ', 'งบ', 'ตบ', 'บ่', 'โบ', 'บก', 'บู', 'บุ', 'อบ', 'เบ', 'กบ', 'ไบ', 'บิ', 'ทบ', 'บะ', 'บด', 'บอ', 'แบ', 'ซบ', 'ขบ', 'บบ', 'บล', 'บง', 'บร', 'บำ', 'บม', 'นบ', 'ดบ', 'ยบ', 'บถ', 'ชบ', 'มบ', 'หบ', 'บช', 'บส', 'วบ', 'บญ', 'บค', 'ผบ', 'ปบ', 'บต', 'ญบ', 'ฉบ', 'บศ', 'ภบ', 'บจ', 'ษบ', 'ฝบ', 'ถบ', 'บึ', 'ธบ']",พบ,2
มากขึ้น,['มือขึ้น'],มือขึ้น,2
รือ,['รือ'],รือ,2
จี้,['จี้'],จี้,2
หนู,['หนู'],หนู,2
เลท,['เลท'],เลท,2
ริมถนน,['ริมถนน'],ริมถนน,2
หนัก,['หนัก'],หนัก,2
กา,['กา'],กา,2
พอ,['พอ'],พอ,2
คัดแยก,['คัดแยก'],คัดแยก,2
เล็ก,['เล็ก'],เล็ก,2
ไส่,['ไส่'],ไส่,2
ลูกไฟ,['ลูกไฟ'],ลูกไฟ,2
เคลื่อนที่,['เคลื่อนที่'],เคลื่อนที่,2
ได้รับ,['ได้รับ'],ได้รับ,2
ผลกระทบ,['ผลกระทบ'],ผลกระทบ,2
หางเปีย,['หางเปีย'],หางเปีย,2
ขนาดใหญ่,['ขาวใหญ่'],ขาวใหญ่,2
ควัน,['ควัน'],ควัน,2
คล้าย,['คล้าย'],คล้าย,2
รองพื้น,['รองพื้น'],รองพื้น,2
การรื้อ,['การรื้อ'],การรื้อ,2
จังหวะ,['จังหวะ'],จังหวะ,2
สอด,['สอด'],สอด,2
ปล่อย,['ปล่อย'],ปล่อย,2
การโยน,"['กาเรียน', 'กาเยน', 'การย์']",กาเรียน,2
ของเหลว,['ของเหลว'],ของเหลว,2
เหตุฉุกเฉิน,['เหตุฉุกเฉิน'],เหตุฉุกเฉิน,2
สับสน,['สับสน'],สับสน,2
รับทราบ,['รับทราบ'],รับทราบ,2
ภาชนะ,['ภาชนะ'],ภาชนะ,2
สีส้ม,"['สะสม', 'ส้ม', 'สีสัน', 'สีลม', 'สารส้ม', 'สุ้ม', 'สีสุก', 'สี้', 'สีสะ', 'มดส้ม', 'โส้ม', 'สีสา', 'สีม', 'สสุม', 'สสัม']",สะสม,2
หยุด,['หยุด'],หยุด,2
สู่,['สู่'],สู่,2
ล้น,['ล้น'],ล้น,2
ลอก,['ลอก'],ลอก,2
ห้าม,['ห้าม'],ห้าม,2
เกินไป,['เกินไป'],เกินไป,2
ตลอด,['ตลอด'],ตลอด,2
ธ,"['ธิ', 'ธี', 'ธน', 'ธง', 'ธา', 'ธร', 'โธ', 'ธะ', 'เธ', 'ไธ', 'ธอ', 'ธม', 'ธุ', 'ธู', 'ธำ', 'ธพ', 'ธต', 'ธป', 'ธณ', 'ธช', 'แธ', 'ธก', 'ธฤ', 'ธธ', 'ธล', 'ธึ', 'ธบ']",ธิ,2
วัส,['วัส'],วัส,2
ชัย,['ชัย'],ชัย,2
ห่าง,['ห่าง'],ห่าง,2
คนงาน,['คนงาน'],คนงาน,2
เดือน,['เดือน'],เดือน,2
เครื่องยนต์,['เครื่องยนต์'],เครื่องยนต์,2
เป็นแนว,['เป็นแดน'],เป็นแดน,2
ต้องตาม,['ต้องตา'],ต้องตา,2
ที่แล้ว,['ที่แล้ว'],ที่แล้ว,2
ทุกๆ,"['ทุก', 'ทุกข']",ทุก,2
ลงเวลา,"['เวลา', 'ล่วงเวลา', 'ทำเวลา']",เวลา,2
กำมะลอ,['กำมะลอ'],กำมะลอ,2
เคาะ,['เคาะ'],เคาะ,2
ตั้งแต่,['ตั้งแต่'],ตั้งแต่,2
เป็นระเบียบ,['เป็นระเบียบ'],เป็นระเบียบ,2
มองไม่เห็น,['มองไม่เห็น'],มองไม่เห็น,2
ยืนยัน,['ยืนยัน'],ยืนยัน,2
แข็งแรง,['แข็งแรง'],แข็งแรง,2
ตั้งอยู่,['ตั้งอยู่'],ตั้งอยู่,2
นาน,['นาน'],นาน,2
สะ,['สะ'],สะ,2
เก็น,['เก็น'],เก็น,2
แฟชั่น,['แฟชั่น'],แฟชั่น,2
ผู้ควบคุม,['ผู้ควบคุม'],ผู้ควบคุม,2
คลาย,['คลาย'],คลาย,2
ทั้งสอง,['ทั้งผอง'],ทั้งผอง,2
เมินหน้า,"['เดินหน้า', 'เกินหน้า']",เดินหน้า,2
เป็นไป,"['เป็นไร', 'เป็นไฟ']",เป็นไร,2
ตามจริง,"['ความจริง', 'สมจริง', 'ภาพจริง']",ความจริง,2
นิ้ว,['นิ้ว'],นิ้ว,2
การคำนวณ,['การคำนวณ'],การคำนวณ,2
ผู้รับผิดชอบ,['ผู้รับผิดชอบ'],ผู้รับผิดชอบ,2
ตกลง,['ตกลง'],ตกลง,2
ธรรมดา,['ธรรมดา'],ธรรมดา,2
สัมผัส,['สัมผัส'],สัมผัส,2
บรรจุ,['บรรจุ'],บรรจุ,2
รหัส,['รหัส'],รหัส,2
นำไปใช้,['นำไปใช้'],นำไปใช้,2
หล่อ,['หล่อ'],หล่อ,2
เย็น,['เย็น'],เย็น,2
พิจารณา,['พิจารณา'],พิจารณา,2
ทองเหลือง,['ทองเหลือง'],ทองเหลือง,2
สวมหน้ากาก,['สวมหน้ากาก'],สวมหน้ากาก,2
วิทยุสื่อสาร,['วิทยุสื่อสาร'],วิทยุสื่อสาร,2
ปริมาณ,['ปริมาณ'],ปริมาณ,2
ฝักบัว,['ฝักบัว'],ฝักบัว,2
ทับ,['ทับ'],ทับ,2
มั่นคงแข็งแรง,['มั่นคงแข็งแรง'],มั่นคงแข็งแรง,2
ตาเดียว,['ตาเดียว'],ตาเดียว,2
หย่อน,['หย่อน'],หย่อน,2
ห้อย,['ห้อย'],ห้อย,2
ชั้นเดียว,['ชั้นเดียว'],ชั้นเดียว,2
ผุกร่อน,['ผุกร่อน'],ผุกร่อน,2
เชือกฟาง,['เชือกฟาง'],เชือกฟาง,2
ชี้,['ชี้'],ชี้,2
บ่ง,['บ่ง'],บ่ง,2
น้ำเสีย,['น้ำเสียง'],น้ำเสียง,2
ไฮดรอลิก,['ไฮดรอลิก'],ไฮดรอลิก,2
แผน,['แผน'],แผน,2
ระบุชื่อ,['ระบุชื่อ'],ระบุชื่อ,2
ลำ,['ลำ'],ลำ,2
เรียง,['เรียง'],เรียง,2
ยืด,['ยืด'],ยืด,2
ตะไคร่,['ตะไคร่'],ตะไคร่,2
ค้ำ,['ค้ำ'],ค้ำ,2
ยัน,['ยัน'],ยัน,2
ประกายไฟ,['ประกาย'],ประกาย,2
รุนแรง,['รุนแรง'],รุนแรง,2
ประคอง,['ประคอง'],ประคอง,2
ไอเสีย,['ไอเสีย'],ไอเสีย,2
ทุกครั้งที่,['ทุกครั้งที่'],ทุกครั้งที่,2
เฉี่ยว,['เฉี่ยว'],เฉี่ยว,2
แว่น,['แว่น'],แว่น,2
ละเอียด,['ละเอียด'],ละเอียด,2
พูดคุย,['พูดคุย'],พูดคุย,2
ทางลง,"['ทาง', 'ทางหลวง', 'ทางใน', 'กาหลง', 'ทางค์', 'ยางลบ', 'ทาล', 'ลางลิง', 'ทางค']",ทาง,2
ม,"['มี', 'มา', 'ผม', 'มิ', 'ชม', 'สม', 'ลม', 'โม', 'เม', 'คม', 'นม', 'มะ', 'จม', 'ไม', 'อม', 'มน', 'มู', 'ดม', 'มด', 'ปม', 'แม', 'มอ', 'รม', 'ขม', 'ถม', 'มุ', 'ยม', 'มล', 'มร', 'มก', 'มณ', 'งม', 'มม', 'ตม', 'มห', 'มง', 'ทม', 'มำ', 'ซม', 'มท', 'กม', 'หม', 'มฤ', 'ธม', 'มย', 'บม', 'มต', 'ใม', 'ฉม', 'มค', 'พม', 'วม', 'ศม', 'มึ', 'มบ', 'ภม', 'มฆ', 'ฟม', 'มจ', 'มส', 'ษม', 'มช', 'ฮม', 'มพ']",มี,2
ต่อย,['ต่อย'],ต่อย,2
หนัง,['หนัง'],หนัง,2
ซึ่งหน้า,['ซึ่งหน้า'],ซึ่งหน้า,2
ระบายอากาศ,['ระบายอากาศ'],ระบายอากาศ,2
สีน้ำเงิน,['น้ำเงิน'],น้ำเงิน,2
ห่วง,['ห่วง'],ห่วง,2
เหมือนกัน,['เหมือนกับ'],เหมือนกับ,2
ว่าที่,['ว่าที่'],ว่าที่,2
ที่เกิด,['ที่เกิด'],ที่เกิด,2
การลุก,"['การก', 'การเวก', 'การุญ', 'กรุก', 'กาลิก', 'พาลุก', 'กลุก']",การก,2
นี้,['นี้'],นี้,2
พร้อมทั้ง,['พร้อมทั้ง'],พร้อมทั้ง,2
กระเป๋า,['กระเป๋า'],กระเป๋า,2
ต่ำสุด,['ต่ำสุด'],ต่ำสุด,2
สูงสุด,['สูงสุด'],สูงสุด,2
สิ่งผิดปกติ,['สิ่งผิดปกติ'],สิ่งผิดปกติ,2
รอบเดือน,['รอบเดือน'],รอบเดือน,2
วัน,['วัน'],วัน,2
กระจาย,['กระจาย'],กระจาย,2
น้ำแข็ง,['น้ำแข็ง'],น้ำแข็ง,2
พุ่ง,['พุ่ง'],พุ่ง,2
สืบ,['สืบ'],สืบ,2
ปรากฏ,['ปรากฏ'],ปรากฏ,2
สึก,['สึก'],สึก,2
หก,['หก'],หก,2
ห่วงยาง,['ห่วงยาง'],ห่วงยาง,2
ถ,"['รถ', 'ถู', 'ไถ', 'โถ', 'ถม', 'ถา', 'ถก', 'ถะ', 'ถุ', 'ถิ', 'ถี', 'ถึ', 'ถง', 'สถ', 'เถ', 'แถ', 'ถน', 'ตถ', 'บถ', 'ถด', 'ถอ', 'ถร', 'ถำ', 'ญถ', 'ปถ', 'ถบ', 'ถป', 'ถว']",รถ,2
หนึ่ง,['หนึ่ง'],หนึ่ง,2
กรอง,['กรอง'],กรอง,2
ไหน,['ไหน'],ไหน,2
เจ้าของงาน,['เจ้าของงาน'],เจ้าของงาน,2
ท่อน้ำ,['ท่อน้ำ'],ท่อน้ำ,2
เมือ,['เมือ'],เมือ,2
สัง,['สัง'],สัง,2
เกตุ,['เกตุ'],เกตุ,2
ซ้ำ,['ซ้ำ'],ซ้ำ,2
ทำเป็น,['ทำเป็น'],ทำเป็น,2
ดังกล่าว,['ดังกล่าว'],ดังกล่าว,2
เกิดเหตุ,['เกิดเหตุ'],เกิดเหตุ,2
ยกเลิก,['ยกเลิก'],ยกเลิก,2
ฝน,['ฝน'],ฝน,2
ลื่นล้ม,['คลื่นลม'],คลื่นลม,2
ช่วงเวลา,['ล่วงเวลา'],ล่วงเวลา,2
หรือไม่,['หรือไม่'],หรือไม่,2
แหล่งที่มา,['แหล่งที่มา'],แหล่งที่มา,2
ลึก,['ลึก'],ลึก,2
ส่งผลให้เกิด,['ส่งผลให้เกิด'],ส่งผลให้เกิด,2
พัดลมระบายอากาศ,['พัดลมระบายอากาศ'],พัดลมระบายอากาศ,3
หอ,['หอ'],หอ,3
ไม,['ไม'],ไม,3
ขยายผล,['ขยาย'],ขยาย,3
รื้ถอน,"['ร้อน', 'รื้อ', 'เรื้อน', 'รื้น']",ร้อน,3
สอบ,['สอบ'],สอบ,3
บ่งชี้,['บ่งชี้'],บ่งชี้,3
ขึน,['ขึน'],ขึน,3
ม่าน,['ม่าน'],ม่าน,3
ช่วยเหลือ,['ช่วยเหลือ'],ช่วยเหลือ,3
จุดต่อ,"['ติดต่อ', 'จุดอ่อน', 'จดจ่อ', 'จต่อ']",ติดต่อ,3
มีค่า,['มะค่า'],มะค่า,3
เมิณ,['เมิณ'],เมิณ,3
ห้องน้ำ,['ห้องน้ำ'],ห้องน้ำ,3
โรง,['โรง'],โรง,3
เป็นสนิม,['เป็นสนิม'],เป็นสนิม,3
สัตว์,['สัตว์'],สัตว์,3
ไข่แดง,['ไข่แดง'],ไข่แดง,3
กระ,['กระ'],กระ,3
อนุ,['อนุ'],อนุ,3
ญาติ,['ญาติ'],ญาติ,3
ยาว,['ยาว'],ยาว,3
รูด,['รูด'],รูด,3
รุ,['รุ'],รุ,3
เหล็กสกัด,['เหล็กสกัด'],เหล็กสกัด,3
เป,['เป'],เป,3
ลี่,['ลี่'],ลี่,3
หยดน้ำ,"['รดน้ำ', 'ดูดน้ำ', 'กดน้ำ', 'หมูน้ำ', 'หัวน้ำ', 'ผิดน้ำ', 'ซัดน้ำ', 'ยอดน้ำ', 'ดน้ำ', 'ทอดน้ำ']",รดน้ำ,3
ทดลอง,['ทดลอง'],ทดลอง,3
เพื่อที่จะ,['เพื่อที่จะ'],เพื่อที่จะ,3
อุตสาหกรรม,['อุตสาหกรรม'],อุตสาหกรรม,3
ประจำปี,['ประจำ'],ประจำ,3
ต๊าบ,"['ตราบ', 'ต๊าย', 'ป๊าบ', 'ตาบ', 'จ๊าบ', 'ต๊าว', 'ต๊า', 'บ๊าบ', 'ก๊าบ', 'ต๊อบ']",ตราบ,3
ลี,['ลี'],ลี,3
กลับมา,"['กลับ', 'หลับตา', 'ลับตา', 'กลับทาง', 'กลับคำ']",กลับ,3
ตรงข้าม,['ตรงข้าม'],ตรงข้าม,3
ปัก,['ปัก'],ปัก,3
พิกัด,['พิกัด'],พิกัด,3
หมุด,['หมุด'],หมุด,3
โรงไฟฟ้า,['โรงไฟฟ้า'],โรงไฟฟ้า,3
มาบ,['มาบ'],มาบ,3
พุด,['พุด'],พุด,3
เพิ่มเติม,['เพิ่มเติม'],เพิ่มเติม,3
ปิดงาน,"['จัดงาน', 'ปิดปาก', 'ปิดตาย', 'ปิดใน']",จัดงาน,3
ถูกต้อง,['ถูกต้อง'],ถูกต้อง,3
คาด,['คาด'],คาด,3
รื่อ,['รื่อ'],รื่อ,3
ต่อเติม,['ต่อตาม'],ต่อตาม,3
งานวัด,"['งูสวัด', 'งาตัด']",งูสวัด,3
ระดับเสียง,['ระดับเสียง'],ระดับเสียง,3
สั่ง,['สั่ง'],สั่ง,3
ไข,['ไข'],ไข,3
มัน,['มัน'],มัน,3
รถตู้,"['รู้', 'ตู้', 'ระตู']",รู้,3
แมลง,['แมลง'],แมลง,3
นขา,['นขา'],นขา,3
ที่วัด,['ที่วัด'],ที่วัด,3
ความชื้น,['ความชื้น'],ความชื้น,3
น้้ำ,['น้ำ'],น้ำ,3
เดินสาย,['เดินสาย'],เดินสาย,3
สาร,['สาร'],สาร,3
เข็น,['เข็น'],เข็น,3
จำกัด,['จำกัด'],จำกัด,3
พี่,['พี่'],พี่,3
เทียบ,['เทียบ'],เทียบ,3
ลานจอดรถ,['ลานจอดรถ'],ลานจอดรถ,3
ว,"['วง', 'วิ', 'วา', 'วี', 'วะ', 'ไว', 'วร', 'วน', 'เว', 'วก', 'โว', 'ชว', 'สว', 'นว', 'วอ', 'วู', 'แว', 'ภว', 'ยว', 'อว', 'รว', 'ลว', 'วุ', 'วล', 'วว', 'ศว', 'วจ', 'วส', 'วม', 'ทว', 'วต', 'วบ', 'วด', 'วณ', 'วพ', 'วช', 'วท', 'วค', 'ถว', 'วป']",วง,3
ปรับพื้น,['ปรับพื้น'],ปรับพื้น,3
ปาด,['ปาด'],ปาด,3
ตัน,['ตัน'],ตัน,3
จมน้ำ,"['จน้ำ', 'มน้ำ']",จน้ำ,3
สา,['สา'],สา,3
แท่น,['แท่น'],แท่น,3
โคม,['โคม'],โคม,3
รอื้,"['รู้', 'รอบ', 'รอ', 'ไอ้', 'รอง', 'รอย', 'รอด', 'เอื้อ', 'อืม', 'โอ้', 'รื้อ', 'อือ', 'รอน', 'อี้', 'อื้อ', 'อู้', 'รือ', 'รอส', 'รอล', 'อืด', 'รอก', 'รอม', 'รื้น', 'เอ้', 'รอฟ', 'รี้', 'อื้ม', 'เอือ', 'แอ้', 'รอค', 'อืน', 'ร้อ', 'รอต', 'อืส', 'อื้น', 'รอท', 'อืท', 'อืง', 'สอื้น', 'รอว์', 'อรุ้', 'รหือ', 'รอห์', 'รอธ', 'รืน', 'รอช', 'ไอก้']",รู้,3
เก้,['เก้'],เก้,3
เพื่อให้,['เพื่อให้'],เพื่อให้,3
โฟม,['โฟม'],โฟม,3
ใส,['ใส'],ใส,3
ระดับความสูง,['ระดับความสูง'],ระดับความสูง,3
ซึม,['ซึม'],ซึม,3
กราฟ,['กราฟ'],กราฟ,3
ณณ์,"['รณ์', 'ษณ์', 'ณณ', 'ณฑ์', 'มณ์', 'ธณ์']",รณ์,3
ลูกแก้ว,['ลูกแก้ว'],ลูกแก้ว,3
สายล่อฟ้า,['สายล่อฟ้า'],สายล่อฟ้า,3
ร่วงหล่น,['ร่วงหล่น'],ร่วงหล่น,3
รีด,['รีด'],รีด,3
ผู้หญิง,['ผู้หญิง'],ผู้หญิง,3
สติกเกอร์,['สติกเกอร์'],สติกเกอร์,3
มั่นคง,['มั่นคง'],มั่นคง,3
หญ้า,['หญ้า'],หญ้า,3
ด้ามจับ,['ด้ามจับ'],ด้ามจับ,3
ประจำ,['ประจำ'],ประจำ,3
เฝ้า,['เฝ้า'],เฝ้า,3
ปีนป่าย,['ปีนป่าย'],ปีนป่าย,3
สั้น,['สั้น'],สั้น,3
สะบัด,['สะบัด'],สะบัด,3
คม,['คม'],คม,3
พัง,['พัง'],พัง,3
ตลอดเวลา,['ตลอดเวลา'],ตลอดเวลา,3
จริง,['จริง'],จริง,3
จัดหา,['จัดหา'],จัดหา,3
โดยตรง,['โดยตรง'],โดยตรง,3
พับ,['พับ'],พับ,3
จักรยาน,['จักรยาน'],จักรยาน,3
กระบะ,['กระบะ'],กระบะ,3
เล็กน้อย,['เล็กน้อย'],เล็กน้อย,3
น้อยกว่า,['น้อยหน่า'],น้อยหน่า,3
ปั่น,['ปั่น'],ปั่น,3
กรวย,['กรวย'],กรวย,3
ค้อน,['ค้อน'],ค้อน,3
บังคับ,['บังคับ'],บังคับ,3
ค่อนข้าง,['ค่อนข้าง'],ค่อนข้าง,3
แรง,['แรง'],แรง,3
อบรม,['อบรม'],อบรม,3
คันดิน,"['ผืนดิน', 'สันดาน', 'สันดอน', 'หัสดิน', 'ทันกิน', 'รันอิน']",ผืนดิน,3
สื่อสาร,['สื่อสาร'],สื่อสาร,3
อื่นๆ,['อื่น'],อื่น,3
ติดต่อ,['ติดต่อ'],ติดต่อ,3
มีส่วน,['มส่วน'],มส่วน,3
หาย,['หาย'],หาย,3
ปลิว,['ปลิว'],ปลิว,3
ซีด,['ซีด'],ซีด,3
กระจัดกระจาย,['กระจัดกระจาย'],กระจัดกระจาย,3
ชั้นบน,['ชั้นใน'],ชั้นใน,3
หนีบ,['หนีบ'],หนีบ,3
กระสอบ,['กระสอบ'],กระสอบ,3
ซ้อน,['ซ้อน'],ซ้อน,3
เสื่อมสภาพ,['เสื่อมสภาพ'],เสื่อมสภาพ,3
น้ำมันเครื่อง,['น้ำมันเครื่อง'],น้ำมันเครื่อง,3
สะสม,['สะสม'],สะสม,3
ลื่น,['ลื่น'],ลื่น,3
