Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
LineQuenchwaterleakมีOilปนเปื้อนZZ-S,LineQuenchwaterleak contains oil contaminated ZZ-S.,Olefins2,MOC (OPE),HNM,Process & Operation,LineQuenchwaterleakมีOilปนเปื้อนZZ-S,LineQuenchwaterleak contains oil contaminated ZZ-S.
แผ่นGratingหักแนวเชื่อมวางSupportเมตร,"Grating plate, broken welding line, placed Support meter",UT,MOC (OPE),HNM,Work at height,แผ่นGratingหักแนวเชื่อมวางSupportเมตร,"Grating plate, broken welding line, placed Support meter"
พบคราบเขม่าสีบริเวณJacketInsulationมีไอความร้อนบริเวณ  E-711วัดCขณะปิดวาล์วหน้างานตรวจพบHCleak  LEL%volทำการแจ้งUSช่วยประงานแก้ไขโดยทันที,"Colored soot was found at the JacketInsulation area. E-711 Measure C with the valve closed at the job site, detecting HCleak. LEL%vol notified the US to help fix it immediately.",OCU,Piyanat A.,HNM,Process & Operation,พบคราบเขม่าสีบริเวณJacketInsulationมีไอความร้อนบริเวณ  E-711วัดCขณะปิดวาล์วหน้างานตรวจพบHCleak  LEL%volทำการแจ้งUSช่วยประงานแก้ไขโดยทันที,"Colored soot was found at the JacketInsulation area. E-711 Measure C with the valve closed at the job site, detecting HCleak. LEL%vol notified the US to help fix it immediately."
งานCleanSTRมีการfillupdrainoilP-SถังLล้นถังL,CleanSTR work has a fillupdrainoilP-S tank L overflowing tank L,Olefins2,RNC,HNM,Chemical Work,งานCleanSTRมีการfillupdrainoilP-SถังLล้นถังL,CleanSTR work has a fillupdrainoilP-S tank L overflowing tank L
อุปกรณ์มีลักษณะยุบกระแทก,The device is collapsible.,Olefins2,-,Near Miss,Scaffolding,อุปกรณ์มีลักษณะยุบกระแทก,The device is collapsible.
"Clampนั่งร้านตกAuditสื่อสารผู้ปฏิบัติงานทำให้มีการคลายClampฝั่งPipeขนย้ายทำให้Clampฝั่งยึดPipeหล่น
","Scaffolding Clamp Falling Audit Communicates Operator to loosen the Transport Pipe Side Clamp, causing the Pipe Clamping Side Clamp to fall.",Olefins2,ATI-LT,Near Miss,Scaffolding,"Clampนั่งร้านตกAuditสื่อสารผู้ปฏิบัติงานทำให้มีการคลายClampฝั่งPipeขนย้ายทำให้Clampฝั่งยึดPipeหล่น
","Scaffolding Clamp Falling Audit Communicates Operator to loosen the Transport Pipe Side Clamp, causing the Pipe Clamping Side Clamp to fall."
BackhoeJCBขุดตักดินโดนสายGroundบ่อF-ขาด,"BackhoeJCB digging the ground hit the ground line, the pond F-broken.",UT,ATP,Near Miss,Excavation,BackhoeJCBขุดตักดินโดนสายGroundบ่อF-ขาด,"BackhoeJCB digging the ground hit the ground line, the pond F-broken."
O-Ringไฮโดรลิคแตกทำให้น้ำมันหกลิตร,"The hydraulic O-Ring broke, spilling a liter of oil.",UT,ATP,Near Miss,Excavation,O-Ringไฮโดรลิคแตกทำให้น้ำมันหกลิตร,"The hydraulic O-Ring broke, spilling a liter of oil."
เหล็กเส้นทำการผูกผนังบ่อล้มมีได้รับบาดเจ็บมีทรัพย์สินเสียหาย,"Rebar tied to the wall of the well fell, injured, damaged property.",UT,ATP,Near Miss,Civil,เหล็กเส้นทำการผูกผนังบ่อล้มมีได้รับบาดเจ็บมีทรัพย์สินเสียหาย,"Rebar tied to the wall of the well fell, injured, damaged property."
มีน้ำมันไฮดรอลิกไหลทำการซ่อมแซมมอเตอร์หัวแย๊กชำรุด,There is hydraulic oil flowing to repair the broken yoke motor.,UT,ATP,Near Miss,Excavation,มีน้ำมันไฮดรอลิกไหลทำการซ่อมแซมมอเตอร์หัวแย๊กชำรุด,There is hydraulic oil flowing to repair the broken yoke motor.
"LogsheetPG-Localหน้างานพบอ่านkgcmค่าdesignpressureอยู่kmcmตรวจสอบเทียบPG-อ่านค่าkgcmแจ้งBMcheckค่าDCSพบkgcmค่าควบคุมต่างกัน
แก้ไขRangeControlPG-","LogsheetPG-Local page found read kgcm value designpressure located kmcm check PG-read kgcm report BMcheck value DCS find kgcm different control value.
Edit RangeControlPG-",ARU,Borpit N.,Near Miss,Process & Operation,"LogsheetPG-Localหน้างานพบอ่านkgcmค่าdesignpressureอยู่kmcmตรวจสอบเทียบPG-อ่านค่าkgcmแจ้งBMcheckค่าDCSพบkgcmค่าควบคุมต่างกัน
แก้ไขRangeControlPG-","LogsheetPG-Local page found read kgcm value designpressure located kmcm check PG-read kgcm report BMcheck value DCS find kgcm different control value.
Edit RangeControlPG-"
ได้กลิ่นHydrocarbonขณะนั้นมีกิจกรรมทำให้เกิดกลิ่นแจ้งผู้ช่วยนำเครื่องVOCsตรวจสอบที่มากลิ่นพบหน้าFlangeoutletR-มีค่าVOCsMaxRangeแจ้งหัวหน้างานทราบต่อสายเป่าจุดVOCsป้องกันเกิดการลุกติดไฟจุดมีความมที่สูงมีVOCsBarricade  ทางหัวหน้างานแจ้งFiremanเข้ามาสายดับเพลิงเหตุฉุกเฉิน,"Smell Hydrocarbon At that time there was odor activity. The assistant brought in the VOCs. Investigated the odor source, found the FlangeoutletR-valued VOCsMaxRange page. Notify the supervisor of the VOCs blast wires. The supervisor informed the Fireman to the emergency fire line.",ARU,Borpit N.,Near Miss,Process & Operation,ได้กลิ่นHydrocarbonขณะนั้นมีกิจกรรมทำให้เกิดกลิ่นแจ้งผู้ช่วยนำเครื่องVOCsตรวจสอบที่มากลิ่นพบหน้าFlangeoutletR-มีค่าVOCsMaxRangeแจ้งหัวหน้างานทราบต่อสายเป่าจุดVOCsป้องกันเกิดการลุกติดไฟจุดมีความมที่สูงมีVOCsBarricade  ทางหัวหน้างานแจ้งFiremanเข้ามาสายดับเพลิงเหตุฉุกเฉิน,"Smell Hydrocarbon At that time there was odor activity. The assistant brought in the VOCs. Investigated the odor source, found the FlangeoutletR-valued VOCsMaxRange page. Notify the supervisor of the VOCs blast wires. The supervisor informed the Fireman to the emergency fire line."
"รถกะบะทำแผ่นเหล็กBeamตกถนน
มีได้รับบาดเจ็บมีอุปกรณ์เสียหาย","A pickup truck made of steel beam falls off the road
There are injuries, there are equipment damage.",HOT,CR Asia,Near Miss,Transportation,"รถกะบะทำแผ่นเหล็กBeamตกถนน
มีได้รับบาดเจ็บมีอุปกรณ์เสียหาย","A pickup truck made of steel beam falls off the road
There are injuries, there are equipment damage."
งานรื้อถอนนั่งร้านนำรถเข็นขนย้ายอุปกรณ์รถเข็นslideเหยียบฝารางระบายน้ำแตกแผ่น,"Demolition work, scaffolding, bringing carts, moving equipment, slide carts, pedals, drain covers, broken plates.",UT,DSP,Near Miss,Scaffolding,งานรื้อถอนนั่งร้านนำรถเข็นขนย้ายอุปกรณ์รถเข็นslideเหยียบฝารางระบายน้ำแตกแผ่น,"Demolition work, scaffolding, bringing carts, moving equipment, slide carts, pedals, drain covers, broken plates."
วิทยุสื่อสารใช้การให้สัญญาณเครนเครื่อข่ายล่มให้สัญญาณมือเป็นจุดอับ,The radio is used to signal the crane network crashes to give the hand signal to dead spots.,UT,ECE,Near Miss,Lifting,วิทยุสื่อสารใช้การให้สัญญาณเครนเครื่อข่ายล่มให้สัญญาณมือเป็นจุดอับ,The radio is used to signal the crane network crashes to give the hand signal to dead spots.
สายพานเครื่องWaterjetขาดเส้นผู้ควบคุมดูแลเครื่องมีการตัดสินใจเด็ดขาดเกิดเหตุ,"Waterjet machine belts are missing lines, the machine operator has a decisive decision.",HOT,HDS,Near Miss,Water jet,สายพานเครื่องWaterjetขาดเส้นผู้ควบคุมดูแลเครื่องมีการตัดสินใจเด็ดขาดเกิดเหตุ,"Waterjet machine belts are missing lines, the machine operator has a decisive decision."
Cranetonsยืดboomยกเศษconcreteยืดมีhydraulicoilleakลิตรด้านท้ายรถลดboomพบสายhydraulicแตก,Cranetons stretched boom lifted concrete scraps stretched with hydraulicoilleak liter at the rear of the car lowered the boom found the hydraulic cable broke.,UT,HDS,Near Miss,Lifting,Cranetonsยืดboomยกเศษconcreteยืดมีhydraulicoilleakลิตรด้านท้ายรถลดboomพบสายhydraulicแตก,Cranetons stretched boom lifted concrete scraps stretched with hydraulicoilleak liter at the rear of the car lowered the boom found the hydraulic cable broke.
QCทำตลับเมตรตกลงมาขณะปีนนั่งร้านพื้นเมตรเก็บกระเป๋ากางเกง,QC dropped the tape measure while climbing the meter floor scaffolding to collect his pants pocket.,UT,HHP,Near Miss,Work at height,QCทำตลับเมตรตกลงมาขณะปีนนั่งร้านพื้นเมตรเก็บกระเป๋ากางเกง,QC dropped the tape measure while climbing the meter floor scaffolding to collect his pants pocket.
"ทำการรื้อแผ่นInsulationวางสว่านแบตเตอรี่แผ่นนั่งร้านจังหวะเคลื่อนย้ายแผ่นInsulationแผ่นนั่งร้านเกี่ยวสว่านแบตเตอรี่ตกลงมาด้านล่างความสูงเมตร
","Dismantling the Insulation sheet, placing the battery drill, the scaffolding sheet, moving the Insulation sheet, the scaffolding sheet, hooking the battery drill down below the meter height.",HOT,KAEFER,Near Miss,Work at height,"ทำการรื้อแผ่นInsulationวางสว่านแบตเตอรี่แผ่นนั่งร้านจังหวะเคลื่อนย้ายแผ่นInsulationแผ่นนั่งร้านเกี่ยวสว่านแบตเตอรี่ตกลงมาด้านล่างความสูงเมตร
","Dismantling the Insulation sheet, placing the battery drill, the scaffolding sheet, moving the Insulation sheet, the scaffolding sheet, hooking the battery drill down below the meter height."
มีงานตัดต้นไม้หน่วยงานGAworkpermitระบุขั้นตอนการทำงานเเละทำการวิเคราะห์ความเสี่ยงเริ่มงานทำให้ปฎิบัติงานตัดต้นไม้ล้มทับเเนวรั้วพื้นที่downsteamเเละLineท่อPR-B,"There is a tree cutting work. The agency GAworkpermit specified the work process and did a risk analysis. Start work causing the work to cut down trees on the fence line, downsteam area and Line pipe PR-B.",UT,KMS,Near Miss,Work Procedure,มีงานตัดต้นไม้หน่วยงานGAworkpermitระบุขั้นตอนการทำงานเเละทำการวิเคราะห์ความเสี่ยงเริ่มงานทำให้ปฎิบัติงานตัดต้นไม้ล้มทับเเนวรั้วพื้นที่downsteamเเละLineท่อPR-B,"There is a tree cutting work. The agency GAworkpermit specified the work process and did a risk analysis. Start work causing the work to cut down trees on the fence line, downsteam area and Line pipe PR-B."
BMแจ้งไปดูATG-Alarmหน้างานงานมีกลิ่นเหม็นPygasเดินสำรวจดูพบเห็นตู้เก็บSamplingS-มีHydrocarbonหยดแจ้งBMสาเหตุมาจากทำให้ตัวATG-Alarm,BM informs BM to look at ATG-Alarm at the event. Pygas smells bad. Walks around and sees SamplingS storage cabinets - there is a drop of Hydrocarbon informs BM because it caused the ATG-Alarm.,ARU,MOC (OPE),Near Miss,Process & Operation,BMแจ้งไปดูATG-Alarmหน้างานงานมีกลิ่นเหม็นPygasเดินสำรวจดูพบเห็นตู้เก็บSamplingS-มีHydrocarbonหยดแจ้งBMสาเหตุมาจากทำให้ตัวATG-Alarm,BM informs BM to look at ATG-Alarm at the event. Pygas smells bad. Walks around and sees SamplingS storage cabinets - there is a drop of Hydrocarbon informs BM because it caused the ATG-Alarm.
ValveInletF-BPassing  Hydrocarbonรั่วไหลขณะถอดSTRClean,ValveInletF-BPassing Hydrocarbon leaks while removing the STRClean.,ARU,MOC (OPE),Near Miss,Process & Operation,ValveInletF-BPassing  Hydrocarbonรั่วไหลขณะถอดSTRClean,ValveInletF-BPassing Hydrocarbon leaks while removing the STRClean.
ขณะcontrolconditionเป็นปกติพบPI-Alarmlowทำการตรวจสอบconditionทำการตรวจสอบค่าAlarmsetpointเข้าไปตรวจสอบพบค่าSetpointalarmHHHเกินค่าDesignkgcmDCSมีการตั้งค่าAlarmHkgcmHHkgcmเกิดSealpotleakส่งผลกระทบอุปกรณ์ทำให้เกิดความเสียหายเกิดเหตุระเบิด,"While the controlcondition is normal, PI-Alarmlow checks the condition, checks the Alarmsetpoint value, checks the SetpointalarmHHH value, exceeds the Designkgcm value, DCS is set AlarmHkgcmHHkgcm, occurs Sealpotleak, affects the device causing an explosion.",ARU,MOC (OPE),Near Miss,Process & Operation,ขณะcontrolconditionเป็นปกติพบPI-Alarmlowทำการตรวจสอบconditionทำการตรวจสอบค่าAlarmsetpointเข้าไปตรวจสอบพบค่าSetpointalarmHHHเกินค่าDesignkgcmDCSมีการตั้งค่าAlarmHkgcmHHkgcmเกิดSealpotleakส่งผลกระทบอุปกรณ์ทำให้เกิดความเสียหายเกิดเหตุระเบิด,"While the controlcondition is normal, PI-Alarmlow checks the condition, checks the Alarmsetpoint value, checks the SetpointalarmHHH value, exceeds the Designkgcm value, DCS is set AlarmHkgcmHHkgcm, occurs Sealpotleak, affects the device causing an explosion."
ขณะทำการเก็บsampleS-พบHCบริเวณพื้นจุดเก็บเข้าไปตรวจสอบพบมีHCleakบริเวณInsulationBVOutletSC-ทำการแจ้งหัวหน้างานหน่วยงานซ่อมมารื้อinsulationแล้วจึงพบHCleakตรงจุดstem  ballvalveทำการstopleakการขันอัดPackingstemstopleakปรึกษาหน่วยงานมีการเปลี่ยนตัวBallvalveoutletS-เกิดเหตุการณ์เกิดขึ้นวันเปลี่ยนBV  ครับ,"While collecting the sampleS - HC was found at the ground of the collection point, checked for HCleak in the area of ​​InsulationBVOutletSC - notified the supervisor of the repair agency to dismantle the insulation and then found HCleak at the stem point. ballvalve, stopleak, compression, packingstemstopleak, consulting agency, there is a replacement BallvalveoutletS - the incident happened on the date of the change of BV.",ARU,MOC (OPE),Near Miss,Process & Operation,ขณะทำการเก็บsampleS-พบHCบริเวณพื้นจุดเก็บเข้าไปตรวจสอบพบมีHCleakบริเวณInsulationBVOutletSC-ทำการแจ้งหัวหน้างานหน่วยงานซ่อมมารื้อinsulationแล้วจึงพบHCleakตรงจุดstem  ballvalveทำการstopleakการขันอัดPackingstemstopleakปรึกษาหน่วยงานมีการเปลี่ยนตัวBallvalveoutletS-เกิดเหตุการณ์เกิดขึ้นวันเปลี่ยนBV  ครับ,"While collecting the sampleS - HC was found at the ground of the collection point, checked for HCleak in the area of ​​InsulationBVOutletSC - notified the supervisor of the repair agency to dismantle the insulation and then found HCleak at the stem point. ballvalve, stopleak, compression, packingstemstopleak, consulting agency, there is a replacement BallvalveoutletS - the incident happened on the date of the change of BV."
ขณะทำTPMสวมปลอกvalvehydrant  HD-พบรังแตนตัวเตรียมต่อยมองไม่เห็น,"While doing TPM, wear a valvehydrant sleeve. HD-found an invisible hornet's nest preparing to sting",ARU,MOC (OPE),Near Miss,Others,ขณะทำTPMสวมปลอกvalvehydrant  HD-พบรังแตนตัวเตรียมต่อยมองไม่เห็น,"While doing TPM, wear a valvehydrant sleeve. HD-found an invisible hornet's nest preparing to sting"
มีการRE-InstallLineFV-พบStud-boltตัวAlignmentคือฝั่งStudมีเกลียวโผล่ทำให้ความแข็งแรงการประกอบFlange%มีการคลายStud-boltทำให้เกิดการรั่วไหล,There is a RE-InstallLineFV-found Stud-bolt Alignment is that the Stud side has a threaded protrusion causing the flange% assembly strength to loosen the Stud-bolt causing a leak.,ARU,MOC (OPE),Near Miss,Process & Operation,มีการRE-InstallLineFV-พบStud-boltตัวAlignmentคือฝั่งStudมีเกลียวโผล่ทำให้ความแข็งแรงการประกอบFlange%มีการคลายStud-boltทำให้เกิดการรั่วไหล,There is a RE-InstallLineFV-found Stud-bolt Alignment is that the Stud side has a threaded protrusion causing the flange% assembly strength to loosen the Stud-bolt causing a leak.
logsheetplantmonitoringพบlinedrainBVlineHInletPSAVibration,logsheetplantmonitoringพบlinedrainBVlineHInletPSAVibration,COLD,MOC (OPE),Near Miss,Process & Operation,logsheetplantmonitoringพบlinedrainBVlineHInletPSAVibration,logsheetplantmonitoringพบlinedrainBVlineHInletPSAVibration
งานSwingspacertoblingมีการdrainCออกหน้าFlangeใส่ถังด้านล่างมีถาดถังบรรจุสารเคมี,Swingspacertobling work. There is a drainC out of the flange. Put the bottom tank with the chemical tank tray.,COLD,MOC (OPE),Near Miss,LOTO/ LB,งานSwingspacertoblingมีการdrainCออกหน้าFlangeใส่ถังด้านล่างมีถาดถังบรรจุสารเคมี,Swingspacertobling work. There is a drainC out of the flange. Put the bottom tank with the chemical tank tray.
"BoxelliskeyPSV-Blinehydrogenชำรุดหลุดตอนเปิดวาล์วตอนswitchตกใส่ขามีน้ำหนักเยอะพอสมควร	PSV-passingservicePSV-Bใช้งานPSV-Bทำให้pressurehydrogeninjecttoR-  มีจุดDepressuretoWF  ทำให้มีผลกระทบprocess","BoxelliskeyPSV-Blinehydrogen is broken when opening the valve when the switch falls on the leg, it's heavy weight. PSV-passingservicePSV-B implementingPSV-B causes pressurehydrogeninjecttoR- with a DepressuretoWF point. make an impact process",OCU,MOC (OPE),Near Miss,Process & Operation,"BoxelliskeyPSV-Blinehydrogenชำรุดหลุดตอนเปิดวาล์วตอนswitchตกใส่ขามีน้ำหนักเยอะพอสมควร	PSV-passingservicePSV-Bใช้งานPSV-Bทำให้pressurehydrogeninjecttoR-  มีจุดDepressuretoWF  ทำให้มีผลกระทบprocess","BoxelliskeyPSV-Blinehydrogen is broken when opening the valve when the switch falls on the leg, it's heavy weight. PSV-passingservicePSV-B implementingPSV-B causes pressurehydrogeninjecttoR- with a DepressuretoWF point. make an impact process"
DV-702Diapharmsolinoidฉีกขาดทำให้ความดันน้ำคงที่มีน้ำไหลท่อพีวีซีรางระบายน้ำ,DV-702Diapharmsolinoid tear stabilizes water pressure with water flow PVC pipe drain,OCU,MOC (OPE),Near Miss,Process & Operation,DV-702Diapharmsolinoidฉีกขาดทำให้ความดันน้ำคงที่มีน้ำไหลท่อพีวีซีรางระบายน้ำ,DV-702Diapharmsolinoid tear stabilizes water pressure with water flow PVC pipe drain
MotorfanHVAC  AH#เสียมีMotorspare  เปลี่ยนmotorspareมีSizingเท่ากับตัวเสียตู้AH#ทำงานมีระบบปรับอากาศ  ทำให้AH#มีAlarmtemphigh  เปิดประตูฝั่งตู้AH#ระบายความร้อนนำพัดลมเป่าระบายอากาศเป็นพัดลมใช่ประเภทExplosionproofใช้งานPlant  มีgasHCรั่วตู้GCที่อยู่AH#เกิดการติดไฟระเบิด,"MotorfanHVAC AH# broken motorspare Change motorspare with Sizing equal to the broken cabinet AH # works with air conditioning Make AH# have Alarmtemphigh Open the door on the cabinet side, AH # cooling, bring the fan to blow air as a fan, use the explosionproof type, use the plant There was a gasHC leak in the GC cabinet at the address of AH#, an explosion occurred.",OCU,MOC (OPE),Near Miss,Process & Operation,MotorfanHVAC  AH#เสียมีMotorspare  เปลี่ยนmotorspareมีSizingเท่ากับตัวเสียตู้AH#ทำงานมีระบบปรับอากาศ  ทำให้AH#มีAlarmtemphigh  เปิดประตูฝั่งตู้AH#ระบายความร้อนนำพัดลมเป่าระบายอากาศเป็นพัดลมใช่ประเภทExplosionproofใช้งานPlant  มีgasHCรั่วตู้GCที่อยู่AH#เกิดการติดไฟระเบิด,"MotorfanHVAC AH# broken motorspare Change motorspare with Sizing equal to the broken cabinet AH # works with air conditioning Make AH# have Alarmtemphigh Open the door on the cabinet side, AH # cooling, bring the fan to blow air as a fan, use the explosionproof type, use the plant There was a gasHC leak in the GC cabinet at the address of AH#, an explosion occurred."
ได้กลิ่นHCบริเวณP-760ขณะทำการค้นหาTagงานTPM  พบเจอleakunionPipepotSeal  P-760มีการSwitchRunนานแจ้งน้องFOกะเช้ารับทราบใช้NPurgeDiluteHC  ให้ทางMEรีบเข้ามาแก้ไข,Smells HC around P-760 while searching for TPM job tags. Found leakunionPipepotSeal P-760 has a long switchrun. Notify Nong FO. Morning shift. Use NPurgeDiluteHC. Let the ME hurry to fix it.,OCU,MOC (OPE),Near Miss,Process & Operation,ได้กลิ่นHCบริเวณP-760ขณะทำการค้นหาTagงานTPM  พบเจอleakunionPipepotSeal  P-760มีการSwitchRunนานแจ้งน้องFOกะเช้ารับทราบใช้NPurgeDiluteHC  ให้ทางMEรีบเข้ามาแก้ไข,Smells HC around P-760 while searching for TPM job tags. Found leakunionPipepotSeal P-760 has a long switchrun. Notify Nong FO. Morning shift. Use NPurgeDiluteHC. Let the ME hurry to fix it.
